Timestamp: 1752262582769358
HIP_RIGHT: -61.955, -340.084, 2060.81, 0.543021, 0.0790054, 0.835802, -0.0179088
KNEE_RIGHT: -221.513, -294.91, 1695.57, 0.370176, 0.682156, 0.489248, 0.39783
ANKLE_RIGHT: -142.116, 78.1663, 1765.58, 0.396106, 0.589848, 0.641954, 0.288226
FOOT_RIGHT: -214.906, 160.949, 1632.39, 0.0784433, 0.873685, 0.0399475, 0.478462
HEAD: 0.548385, -908.711, 2275.2, 0.480177, -0.454319, 0.535799, -0.525303
NOSE: -8.35176, -953.879, 2120.73, 0.480177, -0.454319, 0.535799, -0.525303
EYE_LEFT: 11.8199, -991.441, 2157.26, 0.710982, 0.0576151, 0.700119, -0.031909
EAR_LEFT: 72.2061, -985.354, 2269, 0.525303, 0.535799, 0.454319, 0.480177
EYE_RIGHT: -39.1716, -979.782, 2153.48, 0.710982, 0.0576151, 0.700119, -0.031909
EAR_RIGHT: -92.2128, -959.775, 2272.04, 0.480177, -0.454319, 0.535799, -0.525303
Timestamp: 1752262582823468
PELVIS: 18.4836, -339.623, 2067.73, -0.333298, 0.603346, -0.32479, 0.647609
SPINE_NAVEL: 9.4712, -485.517, 2171.02, -0.36729, 0.585206, -0.356438, 0.628954
SPINE_CHEST: 2.99445, -611.314, 2238.89, -0.464366, 0.526647, -0.456637, 0.546342
NECK: -0.0830332, -826.441, 2272.79, 0.506683, -0.488331, 0.4974, -0.507344
CLAVICLE_LEFT: 34.1889, -791.36, 2269.23, 0.684963, -0.72189, -0.00252112, 0.0984599
SHOULDER_LEFT: 174.819, -771.494, 2249.34, 0.662169, -0.482303, -0.394404, 0.416368
ELBOW_LEFT: 269.678, -513.155, 2282.8, 0.234705, -0.622918, 0.0119906, 0.746152
WRIST_LEFT: 243.204, -435.134, 2065.19, 0.507511, 0.576587, 0.517016, -0.377721
HAND_LEFT: 268.49, -418.652, 1973.42, 0.463044, 0.516434, 0.57711, -0.431081
HANDTIP_LEFT: 264.395, -397.312, 1867.22, 0.463044, 0.516434, 0.57711, -0.431081
THUMB_LEFT: 193.24, -371.777, 1969.14, 0.414178, -0.409297, -0.257429, 0.771144
CLAVICLE_RIGHT: -33.2828, -790.104, 2267.23, 0.719362, 0.688774, -0.0894936, 0.0099459
SHOULDER_RIGHT: -163.077, -775.727, 2248.43, 0.507644, 0.709107, -0.349964, -0.342038
ELBOW_RIGHT: -310.267, -537.433, 2285.09, 0.60901, 0.321409, -0.722498, 0.0616354
WRIST_RIGHT: -298.107, -445.688, 2068.4, 0.685948, -0.192419, -0.701641, -0.0122628
HAND_RIGHT: -296.583, -479.967, 1970.21, 0.527245, 0.289169, -0.667612, -0.438962
HANDTIP_RIGHT: -267.091, -389.506, 1922.25, 0.527245, 0.289169, -0.667612, -0.438962
THUMB_RIGHT: -282.289, -434.591, 1940.79, 0.683445, 0.470544, -0.487442, 0.271832
HIP_LEFT: 109.773, -341.314, 2073.31, -0.0370796, 0.510588, -0.0581766, 0.857053
KNEE_LEFT: 300.885, -291.928, 1723.54, 0.650029, -0.307226, 0.412011, -0.55975
ANKLE_LEFT: 287.891, 84.5565, 1797.12, 0.518635, -0.417964, 0.378169, -0.642894
FOOT_LEFT: 353.347, 169.737, 1642.91, 0.824205, -0.0304597, 0.5582, -0.0903972
HIP_RIGHT: -63.8359, -338.098, 2062.71, 0.546758, 0.0753857, 0.833753, -0.015095
KNEE_RIGHT: -220.599, -294.288, 1696.02, 0.373285, 0.674821, 0.495315, 0.399922
ANKLE_RIGHT: -147.118, 80.8031, 1761.94, 0.405964, 0.588871, 0.629271, 0.304043
FOOT_RIGHT: -213.722, 166.117, 1627.09, 0.0742548, 0.864166, 0.0316559, 0.49669
HEAD: -0.870503, -908.384, 2272.09, 0.524094, -0.454969, 0.503445, -0.514658
NOSE: 4.55008, -951.12, 2116.74, 0.524094, -0.454969, 0.503445, -0.514658
EYE_LEFT: 25.4213, -987.527, 2154.05, 0.734508, 0.0342779, 0.677701, 0.00667222
EAR_LEFT: 77.4412, -978.474, 2269.75, 0.514658, 0.503445, 0.454969, 0.524094
EYE_RIGHT: -26.0302, -980.211, 2146.95, 0.734508, 0.0342779, 0.677701, 0.00667222
EAR_RIGHT: -88.4374, -967.153, 2261.9, 0.524094, -0.454969, 0.503445, -0.514658
Timestamp: 1752262582842845
PELVIS: 18.6664, -340.498, 2068.72, -0.333548, 0.603125, -0.324859, 0.647652
SPINE_NAVEL: 9.59084, -486.865, 2172.22, -0.367876, 0.584792, -0.356807, 0.628788
SPINE_CHEST: 3.0799, -613.132, 2240.09, -0.464511, 0.524724, -0.457237, 0.547566
NECK: -0.833016, -828.916, 2273.75, 0.506926, -0.486367, 0.497844, -0.508552
CLAVICLE_LEFT: 33.6661, -793.844, 2270.34, 0.686762, -0.721454, -0.0107404, 0.0880163
SHOULDER_LEFT: 175.229, -774.228, 2254.19, 0.632464, -0.51698, -0.381663, 0.432498
ELBOW_LEFT: 268.246, -512.408, 2264.09, 0.231032, -0.642334, 0.0184834, 0.730541
WRIST_LEFT: 252.363, -439.18, 2043.09, 0.479322, 0.59813, 0.517935, -0.379782
HAND_LEFT: 277.057, -418.907, 1951.63, 0.41668, 0.513334, 0.602083, -0.447618
HANDTIP_LEFT: 263.388, -392.26, 1847.13, 0.41668, 0.513334, 0.602083, -0.447618
THUMB_LEFT: 191.111, -367.717, 1965.22, 0.505674, -0.251635, -0.129408, 0.815001
CLAVICLE_RIGHT: -33.9888, -792.353, 2268.13, 0.718697, 0.689059, -0.0929014, 0.00645767
SHOULDER_RIGHT: -164.007, -776.642, 2249.29, 0.503009, 0.70714, -0.354154, -0.348584
ELBOW_RIGHT: -307.387, -535.407, 2288.02, 0.609504, 0.315507, -0.725208, 0.0550771
WRIST_RIGHT: -293.7, -443.135, 2070.9, 0.689966, -0.230412, -0.686168, 0.00555912
HAND_RIGHT: -296.86, -484.789, 1975.32, 0.529745, 0.268179, -0.672307, -0.442102
HANDTIP_RIGHT: -265.347, -396.203, 1924.54, 0.529745, 0.268179, -0.672307, -0.442102
THUMB_RIGHT: -280.411, -438.357, 1941.44, 0.696024, 0.460312, -0.479687, 0.271226
HIP_LEFT: 110.216, -342.19, 2074.35, -0.0377279, 0.510177, -0.0578459, 0.857292
KNEE_LEFT: 302.176, -292.362, 1723.79, 0.649262, -0.308202, 0.410725, -0.561048
ANKLE_LEFT: 289.45, 85.5272, 1795.96, 0.518314, -0.422097, 0.38294, -0.637606
FOOT_LEFT: 352.42, 172.087, 1640.82, 0.820286, -0.0300096, 0.56452, -0.0868753
HIP_RIGHT: -63.8877, -338.971, 2063.64, 0.546958, 0.0756954, 0.833593, -0.0151326
KNEE_RIGHT: -220.888, -294.857, 1695.83, 0.373354, 0.675019, 0.494823, 0.400133
ANKLE_RIGHT: -146.947, 81.2141, 1762.23, 0.407113, 0.586794, 0.631146, 0.302633
FOOT_RIGHT: -214.06, 165.767, 1626.51, 0.0760793, 0.864011, 0.0344394, 0.496499
HEAD: -1.89708, -911.09, 2272.93, 0.507905, -0.452741, 0.530043, -0.506076
NOSE: -5.63247, -950.283, 2116.13, 0.507905, -0.452741, 0.530043, -0.506076
EYE_LEFT: 15.8378, -988.38, 2151.61, 0.716993, 0.0546606, 0.694933, 0.00129391
EAR_LEFT: 73.944, -983.895, 2265.06, 0.506076, 0.530043, 0.452741, 0.507905
EYE_RIGHT: -35.7643, -979.147, 2147.25, 0.716993, 0.0546606, 0.694933, 0.00129391
EAR_RIGHT: -92.104, -966.784, 2265.78, 0.507905, -0.452741, 0.530043, -0.506076
Timestamp: 1752262582876028
PELVIS: 18.8521, -340.596, 2068.85, -0.334021, 0.602954, -0.324682, 0.647656
SPINE_NAVEL: 9.80226, -487.201, 2172.41, -0.369122, 0.584192, -0.357339, 0.628313
SPINE_CHEST: 3.34552, -613.83, 2239.99, -0.467557, 0.521623, -0.455272, 0.549569
NECK: -0.758991, -829.958, 2273.21, 0.510123, -0.483434, 0.495637, -0.510304
CLAVICLE_LEFT: 33.7913, -794.811, 2270.21, 0.687664, -0.721085, -0.01996, 0.0821902
SHOULDER_LEFT: 175.737, -774.388, 2257.09, 0.622225, -0.526787, -0.384508, 0.432996
ELBOW_LEFT: 267.417, -511.613, 2263.3, 0.228072, -0.651956, 0.0174239, 0.722933
WRIST_LEFT: 256.699, -439.874, 2041.2, 0.475236, 0.596592, 0.521966, -0.381812
HAND_LEFT: 280.323, -419.142, 1949.43, 0.408061, 0.505442, 0.610654, -0.452897
HANDTIP_LEFT: 263.339, -392.182, 1845.35, 0.408061, 0.505442, 0.610654, -0.452897
THUMB_LEFT: 193.204, -368.051, 1966.01, 0.510689, -0.228795, -0.112342, 0.821114
CLAVICLE_RIGHT: -33.924, -793.361, 2267.32, 0.717246, 0.688524, -0.10682, 0.0090451
SHOULDER_RIGHT: -163.358, -775.593, 2245.37, 0.49465, 0.698659, -0.379481, -0.350987
ELBOW_RIGHT: -295.425, -526.698, 2278, 0.605414, 0.306416, -0.733648, 0.0366522
WRIST_RIGHT: -276.694, -430.821, 2062.5, 0.716875, -0.291884, -0.633154, 0.00320884
HAND_RIGHT: -295.033, -477.869, 1971.08, 0.52745, 0.217014, -0.662559, -0.485507
HANDTIP_RIGHT: -257.649, -392.304, 1918.84, 0.52745, 0.217014, -0.662559, -0.485507
THUMB_RIGHT: -282.866, -438.355, 1934.59, 0.77585, 0.403896, -0.438186, 0.207169
